,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration
100,2025-02-21 20:27:13+00:00,650.0,0.01,0.0,0.01,0.0,0.0,10.0,425,1.625001875,False,REGULAR,USD,call,2025-03-07,6
101,2025-02-25 17:47:25+00:00,660.0,0.01,0.0,0.01,0.0,0.0,2.0,62,1.65625171875,False,REGULAR,USD,call,2025-03-07,6
102,2025-02-24 15:34:58+00:00,670.0,0.01,0.0,0.01,0.0,0.0,1.0,66,1.6875015625,False,REGULAR,USD,call,2025-03-07,6
103,2025-02-18 20:51:33+00:00,680.0,0.01,0.0,0.02,0.0,0.0,41.0,58,1.7968760156249999,False,REGULAR,USD,call,2025-03-07,6
104,2025-02-26 17:21:58+00:00,690.0,0.01,0.0,0.01,0.0,0.0,2.0,38,1.75000125,False,REGULAR,USD,call,2025-03-07,6
105,2025-02-27 14:30:05+00:00,700.0,0.01,0.0,0.01,0.0,0.0,5.0,562,1.75000125,False,REGULAR,USD,call,2025-03-07,6
106,2025-02-07 19:55:22+00:00,710.0,0.02,0.0,0.02,0.0,0.0,1.0,3,1.875000625,False,REGULAR,USD,call,2025-03-07,6
107,2025-02-19 14:38:29+00:00,720.0,0.01,0.0,0.02,0.0,0.0,1.0,9,1.9062504687500001,False,REGULAR,USD,call,2025-03-07,6
108,2025-02-24 15:06:57+00:00,730.0,0.02,0.0,0.02,0.01,100.0,1.0,7,1.9375003125,False,REGULAR,USD,call,2025-03-07,6
109,2025-02-25 18:01:03+00:00,740.0,0.01,0.0,0.02,0.0,0.0,1.0,1,1.96875015625,False,REGULAR,USD,call,2025-03-07,6
110,2025-02-14 14:55:50+00:00,750.0,0.01,0.0,0.01,0.0,0.0,2.0,19,1.875000625,False,REGULAR,USD,call,2025-03-07,6
111,2025-02-25 17:48:24+00:00,760.0,0.01,0.0,0.01,0.0,0.0,1.0,34,1.9375003125,False,REGULAR,USD,call,2025-03-07,6
112,2025-02-24 14:32:07+00:00,770.0,0.02,0.0,0.02,0.0,0.0,1.0,3,2.031254921875,False,REGULAR,USD,call,2025-03-07,6
113,2025-02-13 16:55:52+00:00,780.0,0.01,0.0,0.01,0.0,0.0,1.0,23,1.9375003125,False,REGULAR,USD,call,2025-03-07,6
114,2025-02-03 18:37:24+00:00,790.0,0.03,0.0,0.01,0.0,0.0,69.0,104,1.96875015625,False,REGULAR,USD,call,2025-03-07,6
115,2025-02-28 20:59:19+00:00,800.0,0.01,0.0,0.01,0.0,0.0,32.0,872,2.000005,False,REGULAR,USD,call,2025-03-07,6
0,2025-02-28 20:56:20+00:00,100.0,0.01,0.0,0.01,-0.02,-66.66667,1739.0,543,2.3125042187499996,False,REGULAR,USD,put,2025-03-07,6
1,2025-02-28 20:52:10+00:00,110.0,0.02,0.01,0.03,-0.14,-87.5,1664.0,342,2.3437541406249993,False,REGULAR,USD,put,2025-03-07,6
2,2025-02-28 20:51:54+00:00,120.0,0.03,0.01,0.15,0.0,0.0,2023.0,341,2.43750390625,False,REGULAR,USD,put,2025-03-07,6
3,2025-02-28 20:44:18+00:00,130.0,0.04,0.0,0.05,0.01,33.333336,4339.0,485,1.9921875390625,False,REGULAR,USD,put,2025-03-07,6
4,2025-02-28 20:54:20+00:00,140.0,0.06,0.01,0.08,0.009999998,19.999996,17613.0,296,1.9218753906250001,False,REGULAR,USD,put,2025-03-07,6
5,2025-02-28 20:59:19+00:00,150.0,0.07,0.05,0.08,0.010000002,16.66667,6375.0,2696,1.8203133984375,False,REGULAR,USD,put,2025-03-07,6
6,2025-02-28 20:59:42+00:00,160.0,0.08,0.08,0.11,-0.010000005,-11.111116,3547.0,1912,1.7304700976562502,False,REGULAR,USD,put,2025-03-07,6
7,2025-02-28 20:58:31+00:00,170.0,0.1,0.09,0.11,-0.009999998,-9.090907,23060.0,11897,1.5781271093749998,False,REGULAR,USD,put,2025-03-07,6
